function_name,start_address,end_address,size_bytes
LAB_80023774,0x80023774,0x80023870,252
LAB_80023870,0x80023870,0x8002388C,28
LAB_80023974,0x80023974,0x800239B4,64
LAB_80023964,0x80023964,0x80023974,16
LAB_80033330,0x80033330,0x80033380,80
LAB_80033380,0x80033380,0x800335B4,564
LAB_80033828,0x80033828,0x800338E8,192
LAB_80024338,0x80024338,0x80024350,24
LAB_80033984,0x80033984,0x80033B70,492
FUN_80024350,0x80024350,0x80024388,56
LAB_80024388,0x80024388,0x800243A0,24
FUN_80024438,0x80024438,0x800244D0,152
LAB_80024510,0x80024510,0x8002454C,60
FUN_80024564,0x80024564,0x800245BC,88
LAB_80024904,0x80024904,0x80024934,48
LAB_80024934,0x80024934,0x80024964,48
LAB_80024964,0x80024964,0x80024994,48
LAB_80024994,0x80024994,0x800249E0,76
LAB_80034308,0x80034308,0x80034330,40
LAB_80034330,0x80034330,0x800343B0,128
LAB_80034518,0x80034518,0x800345D8,192
LAB_80025190,0x80025190,0x8002519C,12
LAB_80025290,0x80025290,0x800252F4,100
LAB_80025364,0x80025364,0x80025374,16
LAB_80025450,0x80025450,0x80025494,68
LAB_80025434,0x80025434,0x80025450,28
LAB_80025410,0x80025410,0x8002542C,28
FUN_80025494,0x80025494,0x800254D0,60
LAB_80025558,0x80025558,0x80025588,48
LAB_80025548,0x80025548,0x80025558,16
LAB_80025588,0x80025588,0x8002558C,4
LAB_80025638,0x80025638,0x80025644,12
LAB_80025618,0x80025618,0x80025638,32
LAB_80025644,0x80025644,0x80025678,52
FUN_80025678,0x80025678,0x800256A4,44
LAB_80025778,0x80025778,0x800257CC,84
LAB_80025984,0x80025984,0x800259AC,40
LAB_80035244,0x80035244,0x8003526C,40
LAB_80035454,0x80035454,0x80035484,48
LAB_80035484,0x80035484,0x800354C4,64
LAB_80035708,0x80035708,0x80035760,88
FUN_80035848,0x80035848,0x80035914,204
LAB_80035774,0x80035774,0x8003582C,184
LAB_80026014,0x80026014,0x80026048,52
FUN_80026048,0x80026048,0x80026124,220
LAB_80026980,0x80026980,0x8002699C,28
LAB_80026124,0x80026124,0x80026140,28
LAB_80026140,0x80026140,0x80026148,8
LAB_80026974,0x80026974,0x80026980,12
LAB_80026964,0x80026964,0x80026968,4
LAB_80026360,0x80026360,0x80026390,48
LAB_80026484,0x80026484,0x800264A4,32
LAB_80026390,0x80026390,0x800263C0,48
LAB_80026554,0x80026554,0x8002659C,72
LAB_80026608,0x80026608,0x8002661C,20
LAB_80036158,0x80036158,0x800361D4,124
LAB_80026774,0x80026774,0x80026780,12
